;batch_number;user_id;n_friends;batch_start_time;batch_end_time;batch_duratin;average_batch_duration;batch_start_fmt;batch_end_fmt;direction;missed_elements
538;5;285600;0;;;;;;;;
539;5;285718;0;;;;;;;;
540;5;285904;0;;;;;;;;
541;5;286305;0;;;;;;;;
542;5;286541;0;;;;;;;;
543;5;287270;0;;;;;;;;
544;5;288536;0;;;;;;;;
545;5;288549;0;;;;;;;;
546;5;289095;0;;;;;;;;
547;5;289208;0;;;;;;;;
548;5;289267;0;;;;;;;;
549;5;289676;0;;;;;;;;
550;5;290614;0;;;;;;;;
551;5;290853;0;;;;;;;;
552;5;291042;0;;;;;;;;
553;5;291046;0;;;;;;;;
554;5;291163;0;;;;;;;;
555;5;292382;0;;;;;;;;
556;5;292524;0;;;;;;;;
557;5;292696;0;;;;;;;;
558;5;292802;0;;;;;;;;
559;5;293025;0;;;;;;;;
560;5;293264;0;;;;;;;;
561;5;293590;0;;;;;;;;
562;5;293659;0;;;;;;;;
563;5;293668;0;;;;;;;;
564;5;294041;0;;;;;;;;
565;5;295419;0;;;;;;;;
566;5;296679;0;;;;;;;;
567;5;296965;0;;;;;;;;
568;5;296972;0;;;;;;;;
569;5;298163;0;;;;;;;;
570;5;298202;0;;;;;;;;
571;5;299027;0;;;;;;;;
572;5;299055;0;;;;;;;;
573;5;300611;0;;;;;;;;
574;5;300951;0;;;;;;;;
575;5;300959;0;;;;;;;;
576;5;301768;0;;;;;;;;
577;5;303511;0;;;;;;;;
578;5;303841;0;;;;;;;;
579;5;304022;0;;;;;;;;
580;5;304655;0;;;;;;;;
581;5;305337;0;;;;;;;;
582;5;305442;0;;;;;;;;
583;5;305551;0;;;;;;;;
584;5;306322;0;;;;;;;;
585;5;305722;0;;;;;;;;
586;5;306372;0;;;;;;;;
587;5;308240;0;;;;;;;;
588;5;308858;0;;;;;;;;
589;5;309433;0;;;;;;;;
590;5;309750;0;;;;;;;;
591;5;309785;0;;;;;;;;
592;5;309851;0;;;;;;;;
593;5;310366;0;;;;;;;;
594;5;309918;0;;;;;;;;
595;5;310701;0;;;;;;;;
596;5;312292;0;;;;;;;;
597;5;313595;0;;;;;;;;
598;5;312628;0;;;;;;;;
599;5;314127;0;;;;;;;;
600;6;315305;0;1603964930.4979956;1603964946.360824;15.862828493118286;19.261416503361293;2020-10-29 @ 15:48:50;2020-10-29 @ 15:49:06;;
601;6;315714;0;;;;;;;;
602;6;314188;0;;;;;;;;
603;6;315850;0;;;;;;;;
604;6;316810;0;;;;;;;;
605;6;316349;0;;;;;;;;
606;6;317314;0;;;;;;;;
607;6;317693;0;;;;;;;;
608;6;317886;0;;;;;;;;
609;6;318304;0;;;;;;;;
610;6;320263;0;;;;;;;;
611;6;320460;0;;;;;;;;
612;6;321602;0;;;;;;;;
613;6;322041;0;;;;;;;;
614;6;322130;0;;;;;;;;
615;6;322890;0;;;;;;;;
616;6;323285;0;;;;;;;;
617;6;323304;0;;;;;;;;
618;6;323459;0;;;;;;;;
619;6;323762;0;;;;;;;;
620;6;324025;0;;;;;;;;
621;6;324344;0;;;;;;;;
622;6;324966;0;;;;;;;;
623;6;325177;0;;;;;;;;
624;6;325625;0;;;;;;;;
625;6;327598;0;;;;;;;;
626;6;328263;0;;;;;;;;
627;6;328836;0;;;;;;;;
628;6;329587;0;;;;;;;;
629;6;329745;0;;;;;;;;
630;6;329806;0;;;;;;;;
631;6;329982;0;;;;;;;;
632;6;329998;0;;;;;;;;
633;6;330152;0;;;;;;;;
634;6;330264;0;;;;;;;;
635;6;332469;0;;;;;;;;
636;6;332754;0;;;;;;;;
637;6;332783;0;;;;;;;;
638;6;333824;0;;;;;;;;
639;6;333848;0;;;;;;;;
640;6;333897;0;;;;;;;;
641;6;333978;0;;;;;;;;
642;6;334692;0;;;;;;;;
643;6;334706;0;;;;;;;;
644;6;335617;0;;;;;;;;
645;6;335275;0;;;;;;;;
646;6;335725;0;;;;;;;;
647;6;336285;0;;;;;;;;
648;6;337935;0;;;;;;;;
649;6;336521;0;;;;;;;;
650;6;337947;0;;;;;;;;
651;6;338444;0;;;;;;;;
652;6;338912;0;;;;;;;;
653;6;338945;0;;;;;;;;
654;6;338599;0;;;;;;;;
655;6;339423;0;;;;;;;;
656;6;339580;0;;;;;;;;
657;6;340258;0;;;;;;;;
658;6;340938;0;;;;;;;;
659;6;341777;0;;;;;;;;
660;6;341990;0;;;;;;;;
661;6;342350;0;;;;;;;;
662;6;342007;0;;;;;;;;
663;6;343291;0;;;;;;;;
664;6;343333;0;;;;;;;;
665;6;343411;0;;;;;;;;
666;6;343432;0;;;;;;;;
667;6;343703;0;;;;;;;;
668;6;344771;0;;;;;;;;
669;6;345279;0;;;;;;;;
670;6;345385;0;;;;;;;;
671;6;346051;0;;;;;;;;
672;6;346727;0;;;;;;;;
673;6;346844;0;;;;;;;;
674;6;347505;0;;;;;;;;
675;6;348081;0;;;;;;;;
676;6;348167;0;;;;;;;;
677;6;348319;0;;;;;;;;
678;6;348352;0;;;;;;;;
679;6;348398;0;;;;;;;;
680;6;349003;0;;;;;;;;
681;6;349123;0;;;;;;;;
682;6;349287;0;;;;;;;;
683;6;349376;0;;;;;;;;
684;6;349602;0;;;;;;;;
685;6;351508;0;;;;;;;;
686;6;351824;0;;;;;;;;
687;6;351961;0;;;;;;;;
688;6;352701;0;;;;;;;;
689;6;353257;0;;;;;;;;
690;6;354474;0;;;;;;;;
691;6;349604;0;;;;;;;;
692;6;354506;0;;;;;;;;
693;6;355044;0;;;;;;;;
694;6;355242;0;;;;;;;;
695;6;355345;0;;;;;;;;
696;6;355948;0;;;;;;;;
697;6;355951;0;;;;;;;;
698;6;356189;0;;;;;;;;
699;6;359426;0;;;;;;;;
700;7;359742;0;1603964946.4618964;1603964960.6599314;14.19803500175476;18.62849381566048;2020-10-29 @ 15:49:06;2020-10-29 @ 15:49:20;;
701;7;360027;0;;;;;;;;
702;7;360689;0;;;;;;;;
703;7;360925;0;;;;;;;;
704;7;361801;0;;;;;;;;
705;7;362167;0;;;;;;;;
706;7;362370;0;;;;;;;;
707;7;362745;0;;;;;;;;
708;7;363217;0;;;;;;;;
709;7;363248;0;;;;;;;;
710;7;363556;0;;;;;;;;
711;7;364061;0;;;;;;;;
712;7;364343;0;;;;;;;;
713;7;364350;0;;;;;;;;
714;7;365264;0;;;;;;;;
715;7;365278;0;;;;;;;;
716;7;365445;0;;;;;;;;
717;7;365762;0;;;;;;;;
718;7;365975;0;;;;;;;;
719;7;366315;0;;;;;;;;
720;7;366376;0;;;;;;;;
721;7;366741;0;;;;;;;;
722;7;366455;0;;;;;;;;
723;7;367834;0;;;;;;;;
724;7;368377;0;;;;;;;;
725;7;368946;0;;;;;;;;
726;7;369132;0;;;;;;;;
727;7;369555;0;;;;;;;;
728;7;369741;0;;;;;;;;
729;7;369797;0;;;;;;;;
730;7;370373;0;;;;;;;;
731;7;370702;0;;;;;;;;
732;7;371158;0;;;;;;;;
733;7;371502;0;;;;;;;;
734;7;372322;0;;;;;;;;
735;7;372426;0;;;;;;;;
736;7;372615;0;;;;;;;;
737;7;372666;0;;;;;;;;
738;7;372827;0;;;;;;;;
739;7;373622;0;;;;;;;;
740;7;373766;0;;;;;;;;
741;7;374235;0;;;;;;;;
742;7;374759;0;;;;;;;;
743;7;375475;0;;;;;;;;
744;7;375496;0;;;;;;;;
745;7;375933;0;;;;;;;;
746;7;376014;0;;;;;;;;
747;7;376868;0;;;;;;;;
748;7;376998;0;;;;;;;;
749;7;377160;0;;;;;;;;
750;7;377347;0;;;;;;;;
751;7;377833;0;;;;;;;;
752;7;378316;0;;;;;;;;
753;7;378520;0;;;;;;;;
754;7;378974;0;;;;;;;;
755;7;379117;0;;;;;;;;
756;7;379506;0;;;;;;;;
757;7;379708;0;;;;;;;;
758;7;379935;0;;;;;;;;
759;7;380296;0;;;;;;;;
760;7;380714;0;;;;;;;;
761;7;381149;0;;;;;;;;
762;7;381194;0;;;;;;;;
763;7;381813;0;;;;;;;;
764;7;382209;0;;;;;;;;
765;7;383041;0;;;;;;;;
766;7;382206;0;;;;;;;;
767;7;383318;0;;;;;;;;
768;7;384467;0;;;;;;;;
769;7;384735;0;;;;;;;;
770;7;384777;0;;;;;;;;
771;7;384819;0;;;;;;;;
772;7;385341;0;;;;;;;;
773;7;385530;0;;;;;;;;
774;7;388713;0;;;;;;;;
775;7;388225;0;;;;;;;;
776;7;388942;0;;;;;;;;
777;7;389536;0;;;;;;;;
778;7;389737;0;;;;;;;;
779;7;389935;0;;;;;;;;
780;7;389945;0;;;;;;;;
781;7;390620;0;;;;;;;;
